name,description,visibility,isFork,lastPushed,branch,language,homepage,stars,forks,category,product,status,action,mergedFrom,notes,mergedInto,mergeTarget
Tweety,Twitter bot to auto post and reply,public,False,2025-10-16,master,Python,,0,0,content,Tweety,stale,archive,,X API changes likely broke this.,,
devgrowth,GTM Operating System for Technical Solopreneurs,public,False,2025-12-26,main,TypeScript,,0,0,content,DevGrowth,active,keep,,Standalone GTM product.,,
flarecode,Full-stack React framework for Cloudflare Workers,public,False,2026-01-24,main,TypeScript,,0,0,dev-tools,FlareCode,active,keep,,Open-source framework.,,
pseo,Programmatic Utility Engine - 100 AI-proof utility sites,private,False,2026-01-14,main,TypeScript,,0,0,dev-tools,PSEO,active,keep,,Standalone product.,,
shipquest-boilerplate,ShipQuest boilerplate,private,False,2026-01-12,master,TypeScript,,0,0,dev-tools,ShipQuest,active,keep,,Canonical repo. Merge shipquest-admin in.,,
shipquest-admin,ShipQuest admin panel,private,False,2026-01-12,main,TypeScript,,0,0,dev-tools,ShipQuest,duplicate,merge,,Admin panel. Merge into shipquest-boilerplate.,,shipquest-boilerplate
confyui,ComfyUI related,private,False,2026-01-07,main,Python,,0,0,dev-tools,ConfyUI,unclear,evaluate,,Evaluate if active.,,
buildnative,React Native no-code builder,private,False,2025-12-25,main,TypeScript,,0,0,dev-tools,BuildNative,unclear,evaluate,,Evaluate if active.,,
Focusly,Pomodoro focus timer for macOS,public,False,2026-02-26,main,,https://focusly.unquest.ai,4,0,apps,Focusly,active,keep,,Canonical repo. Merge focusly_web in.,,
focusly_web,Focusly web version,private,False,2025-12-10,main,TypeScript,https://focuslyweb.vercel.app,0,0,apps,Focusly,duplicate,merge,,Web version. Merge into Focusly/apps/web/,,Focusly
tasklister,Task management app with spaces and priorities,public,False,2025-06-26,master,TypeScript,,0,0,apps,TaskLister,active,keep,,Standalone product.,,
pulsefit,Minimalistic workout rest timer React Native app,public,False,2025-06-24,main,TypeScript,,0,0,apps,PulseFit,active,keep,,Standalone product.,,
chargefind,ChargeFi nd,private,False,2026-01-14,master,TypeScript,,0,0,apps,ChargeFind,unclear,evaluate,,Evaluate if active.,,
aura,AI photo generation,public,False,2025-11-27,master,TypeScript,,0,0,apps,Aura,active,keep,,Standalone product.,,
TryMyLook,Virtual try-on,public,False,2025-02-20,main,TypeScript,https://trymylook.xyz,0,0,apps,TryMyLook,active,keep,,Standalone product.,,
gamehub,Game hub,public,False,2025-11-27,master,JavaScript,,0,0,apps,GameHub,active,keep,,Standalone product.,,
telestack,AI-powered phone receptionist for healthcare,public,False,2025-11-27,master,Python,,0,0,apps,TeleStack,active,keep,,Standalone product.,,
namemyapp,AI startup name generator,private,False,2026-01-26,main,TypeScript,https://app-sigma-ashen-17.vercel.app,0,0,apps,NameMyApp,active,keep,,Standalone utility product.,,
artise,,private,False,2026-02-26,main,TypeScript,,0,0,new,Artise,new,evaluate,,New repo. Evaluate in 30 days.,,
riya,,private,False,2026-02-26,main,,,0,0,new,Riya,new,evaluate,,New repo. Evaluate in 30 days.,,
devdarshan,,private,False,2026-02-26,main,HTML,,0,0,new,DevDarshan,new,evaluate,,New repo. Evaluate in 30 days.,,
comfy,,private,False,2026-02-26,main,,,0,0,new,Comfy,new,evaluate,,May overlap with confyui. Evaluate.,,
codecloud,,private,False,2026-02-26,main,TypeScript,,0,0,new,CodeCloud,new,evaluate,,New repo. Evaluate in 30 days.,,
canvas-editor,,private,False,2026-02-26,main,TypeScript,,0,0,new,Canvas Editor,new,evaluate,,New repo. Evaluate in 30 days.,,
autopilot_app_ideas,Brainstorming / app ideas,private,False,2026-02-26,main,Python,,0,0,misc,,not-a-product,delete,,"Brainstorming, not code. Use Notion.",,
Apex,,private,False,2026-02-26,main,HTML,,0,0,new,Apex,new,evaluate,,New repo. Evaluate in 30 days.,,
ai-influencers,,private,False,2026-02-26,main,JavaScript,,0,0,new,AI Influencers,new,evaluate,,New repo. Evaluate in 30 days.,,
WriteWell,,private,False,2026-02-26,,,,0,0,new,WriteWell,new,evaluate,,Empty repo. Evaluate in 30 days.,,
mmrag,StackBlitz prototype,public,False,2024-10-06,main,TypeScript,https://stackblitz.com/edit/sb1-rdf4wn,0,0,misc,,stale,archive,,StackBlitz experiment. Not a product.,,
polaris-rr,Polaris fork,public,True,2026-01-05,main,TypeScript,,0,0,misc,,fork,delete,,Fork not being maintained.,,
react-native-apps,Curated List of Open Source React Native Apps,public,True,2025-06-09,master,,https://infinite.red/technologies/react-native,0,0,misc,,fork,delete,,Fork of curated list. Not your product.,,
nextjs-chat,Next.js chat template,private,False,2024-06-15,main,TypeScript,https://nextjs-chat-virid-psi.vercel.app,0,0,misc,,stale,delete,,Template clone. Not a product.,,
andromeda,,public,False,2015-10-15,,,,0,0,misc,,stale,archive,,Ancient repo (2015). Archive for history.,,
vStudio,,private,False,2024-11-30,main,TypeScript,https://vstudio-three.vercel.app,0,0,misc,vStudio,unclear,evaluate,,Has a live Vercel deployment. Evaluate.,,
